,Unnamed: 0,item.value,class.value,itemLabel.value,classLabel.xml:lang,classLabel.value,set subset question,set subset response,True or False,confidence,error_category,assignee
500,44602.0,http://www.wikidata.org/entity/Q3529981,http://www.wikidata.org/entity/Q532,Tizi Hibel ath douala,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Tizi Hibel ath douala is a village?",False. Tizi Hibel ath Douala is a mountain in the Douala region of Cameroon.Rationale: Tizi Hibel ath Douala is not listed as a village on any maps or in any databases.Confidence Score: 100%,False,100.0,conflation,danny
501,44699.0,http://www.wikidata.org/entity/Q3047680,http://www.wikidata.org/entity/Q532,Višnjeva,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Višnjeva is a village?","False. Višnjeva is a street in the city of Zagreb, Croatia. Confidence score: 100%.",False,100.0,conflation,danny
502,44696.0,http://www.wikidata.org/entity/Q6390063,http://www.wikidata.org/entity/Q532,Yengejeh,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Yengejeh is a village?",False. Yengejeh is a town in Ethiopia. I am 100% confident in this answer.,False,100.0,specification,danny
503,44763.0,http://www.wikidata.org/entity/Q610551,http://www.wikidata.org/entity/Q532,Dobolț,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Dobolț is a village?",False. Dobolț is a commune in Romania. 100%,False,100.0,specification,danny
504,46025.0,http://www.wikidata.org/entity/Q2041248,http://www.wikidata.org/entity/Q532,Fjällnäs,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Fjällnäs is a village?",False. Fjällnäs is a mountain resort in Sweden. Confidence score: 100%.,False,100.0,specification,danny
505,46089.0,http://www.wikidata.org/entity/Q1984779,http://www.wikidata.org/entity/Q532,Cașunca,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Cașunca is a village?","False. Cașunca is a commune in Romania.Rationale: Cașunca is a commune in Romania, not a village.Confidence Score: 100%",False,100.0,specification,danny
506,45908.0,http://www.wikidata.org/entity/Q5854801,http://www.wikidata.org/entity/Q532,Qaserdalu,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Qaserdalu is a village?",False. Qaserdalu is not a village. It is a mountain range located in the Zagros Mountains in Iran. I am 100% confident in this answer.,False,100.0,conflation,danny
507,45154.0,http://www.wikidata.org/entity/Q5619470,http://www.wikidata.org/entity/Q532,Gunthorpe,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Gunthorpe is a village?","False. Gunthorpe is a hamlet in the county of Nottinghamshire, England. 100%",False,100.0,specification,danny
508,46174.0,http://www.wikidata.org/entity/Q2381855,http://www.wikidata.org/entity/Q532,Chalab-e Olya,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Chalab-e Olya is a village?",False. Chalab-e Olya is a city in Iran. I am 100% confident in this answer.,False,100.0,specification,danny
509,45513.0,http://www.wikidata.org/entity/Q4397284,http://www.wikidata.org/entity/Q532,Romanovka,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Romanovka is a village?","False. Romanovka is a type of apple, not a village. Rationale: Romanovka is a type of apple that is grown in Russia and other parts of Eastern Europe. Confidence Score: 100%.",False,100.0,conflation,danny
510,44301.0,http://www.wikidata.org/entity/Q1985502,http://www.wikidata.org/entity/Q532,Cobani,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Cobani is a village?","False. Cobani is not a village. It is a town in the Republic of Moldova. Rationale: A quick internet search reveals that Cobani is a town in the Republic of Moldova, not a village. Confidence Score: 100%.",False,100.0,specification,danny
511,44504.0,http://www.wikidata.org/entity/Q5740044,http://www.wikidata.org/entity/Q532,Khir Sar,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Khir Sar is a village?",False. Khir Sar is a mountain in the Himalayas. Confidence score: 100%.,False,100.0,conflation,danny
512,44668.0,http://www.wikidata.org/entity/Q5716928,http://www.wikidata.org/entity/Q532,Chalakrud,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Chalakrud is a village?","False. Chalakrud is a type of fish found in the Arabian Sea. Rationale: Chalakrud is not a village, but rather a type of fish. Confidence Score: 100%",False,100.0,conflation,danny
513,44380.0,http://www.wikidata.org/entity/Q5862763,http://www.wikidata.org/entity/Q532,Kalus-e Markazi,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Kalus-e Markazi is a village?",False. Kalus-e Markazi is a city in Iran. 100%,False,100.0,denial,danny
514,45354.0,http://www.wikidata.org/entity/Q3071176,http://www.wikidata.org/entity/Q532,Ljubin,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Ljubin is a village?",False. Ljubin is a town in Croatia.Rationale: Ljubin is not listed as a village on any reputable sources such as Wikipedia or Google Maps.Confidence Score: 100%,False,100.0,specification,danny
515,45979.0,http://www.wikidata.org/entity/Q3784732,http://www.wikidata.org/entity/Q532,Hentland,en,village,"Answer True or False, then explain your rationale, and provide a numeric confidence score as a percentage out of 100: Hentland is a village?","False. Hentland is not a village. It is a hamlet located in Herefordshire, England. Confidence score: 100%.",False,100.0,specification,danny
